artist,album,track,uri
Mac DeMarco,2,Freaking Out the Neighborhood,spotify:track:3HlK8txWAdtKMrbsqX40pl
Malcolm Todd,Sweet Boy,Earrings,spotify:track:0eAuGrXyGFYwur9ARUe7LJ
Wallows,Calling After Me,Calling After Me,spotify:track:2WGcpz55A2vrvh6foEGCNL
Rauw Alejandro,VICE VERSA,Cúrame,spotify:track:1FlL8ycld6uVDDyhV7P5FA
Burna Boy,"Love, Damini",Kilometre,spotify:track:03YUNUpazIbzwqJq2YSBvB
"Tyler, The Creator",Cherry Bomb + Instrumentals,BLOW MY LOAD - Instrumental,spotify:track:2J1ix1qlk9WjgQzV5gSpO7
Bea Miller,elated!,FEEL SOMETHING DIFFERENT,spotify:track:5STe0hPlbFwIk0OkjNRJLa
Sublime,Everything Under The Sun,Perfect World - Rarities Version,spotify:track:6QHLY8aRGTpAN0L3xUMCmP
"Tyler, The Creator",Cherry Bomb + Instrumentals,SMUCKERS (feat. Lil Wayne & Kanye West),spotify:track:3v6SdZsS8zR6Go257tldbB
Lyn Lapid,In My Mind,In My Mind,spotify:track:2W779g2UrRZtVdf3FcEOO1
BNXN,Fi Kan We Kan,Fi Kan We Kan,spotify:track:771KDfpsOtJPQmocQpMdkR
Sean Paul,The Trinity,Temperature,spotify:track:0k2GOhqsrxDTAbFFSdNJjT
Diana Lima,Ponto Para Terminar,Ponto Para Terminar,spotify:track:6S9nSgLTnk4Z0FpkTTjzv9
Aminé,ONEPOINTFIVE,HICCUP (feat. Gunna),spotify:track:4TaGhbUWsmOWrQt8w3sA9x
Drake,Fake Love,Fake Love,spotify:track:6NMNgWgEAzde5M8U3lc6FN
Blood Orange,Negro Swan,Charcoal Baby,spotify:track:3bBmpVl9rQKJsFFGLFilIS
Piero Piccioni,La Colonna Sonora Italiana: Piero Piccioni - Vol. 1,"Easy Lovers (From ""Camille 2000"")",spotify:track:52IDU97zPq79enz2vWhjrp
The Marías,If Only + No One Noticed,No One Noticed,spotify:track:40QmyP1PmvFYjs8CzYsXA7
Sophie Castillo,Call Me By Your Name,Call Me By Your Name,spotify:track:6FWxFrGQ9YboLvC8vvrT07
Lilithzplug,Meet The Lilithz,CLEARED - Remix,spotify:track:54L7uacUGRkvoLokUlNWfH
Arctic Monkeys,AM,R U Mine?,spotify:track:2AT8iROs4FQueDv2c8q2KE
Saweetie,Fast (Motion),Fast (Motion),spotify:track:7zEz7q43xjzbRSUar4yH3m
PinkPantheress,Heaven knows,Blue,spotify:track:0LsfA3w3zQh2fcN4XeHmSK
Girly Girl Productions,DEMURE,Girls Like Me,spotify:track:1RisOHhXPbVwepgxG4ZDPF
daydreamers,Call Me Up,Call Me Up,spotify:track:1E9T8kPAQV2zMSf0hz3K6A
Hamid Al Shaeri,The SLAM! Years: 1983 - 1988 (Habibi Funk 018),Ayonha,spotify:track:5HCTbcF18u5DcYNwEWWf3n
Piff Marti,Heartbeat,Heartbeat (You Fi Know),spotify:track:4Wqhuou0F3FFcEgxHLnsGJ
Jason Derulo,Talk Dirty,Talk Dirty (feat. 2 Chainz),spotify:track:6g6A7qNhTfUgOSH7ROOxTD
Rejjie Snow,Dear Annie,Egyptian Luvr (feat. Aminé and Dana Williams),spotify:track:6t8GevE5R0ciW06AujEXXr
Naji,Mona Lisa,Mona Lisa,spotify:track:5GUvXUx0GbyBKO2f8yQxFn
Villano Antillano,La Sustancia X,Kaleidoscópica,spotify:track:6M1qcLBhSBIDMmC9wprnLK
Aminé,Limbo,"Pressure In My Palms (feat. slowthai, Vince Staples)",spotify:track:2nWB8ZpA1lxulicEUzTQ6W
Lana Del Rey,Honeymoon,Art Deco,spotify:track:5jqNQZBwbZWQXPWfo0ygZF
"Tyler, The Creator",CALL ME IF YOU GET LOST,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),spotify:track:3EG9FJ0ToLfgnc1IG2Z1wz
"Tyler, The Creator",Cherry Bomb + Instrumentals,RUN - Instrumental,spotify:track:0JUwpmBTwaXjdMTCnI5eNX
GloRilla,Ehhthang Ehhthang,Bad Bih 4 Ya (feat. Boston Richey),spotify:track:6oXwnROJNUkozh28jT9O1V
Isaiah Falls,LUCKY ME,BUTTERFLIES,spotify:track:0quwQM9YgpwBsNnCyZ8aaA
GIVĒON,TAKE TIME,Like I Want You,spotify:track:6qBFSepqLCuh5tehehc1bd
Ravyn Lenae,Bird's Eye,Love Me Not,spotify:track:4WFgvKVfEhb3IUAFGrutTR
Malcolm Todd,Chest Pain (I Love),Chest Pain (I Love),spotify:track:3gPYoFtn70aTgl546XVSET
BETWEEN FRIENDS,we just need some time together,affection,spotify:track:4LyIHEDbAWDeKV0JbVZae9
هدي عربي,سوي كدا,سوي كدا,spotify:track:4vYOlnNVjEfuac7wqJiPbQ
Ashley Tisdale,Headstrong,He Said She Said,spotify:track:0jTTjg6q4jsd2RhuHwTvLj
Mac DeMarco,2,My Kind of Woman,spotify:track:6jgkEbmQ2F2onEqsEhiliL
Ingrid Laien,Tú Eres una Celosa Yo No Soy Celosa,Tú Eres una Celosa Yo No Soy Celosa,spotify:track:02l47wq9C1CKkJ6ibCf82k
Cigarettes After Sex,Cigarettes After Sex,Apocalypse,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5
Hippo Campus,Landmark,Buttercup,spotify:track:6iCJCZqDJjmBxt07Oid6FI
PinkPantheress,Attracted To You,Attracted to You,spotify:track:4fPjI40ElIwJQ4DJJxSCOe
Jorja Smith,Be Honest (feat. Burna Boy),Be Honest (feat. Burna Boy),spotify:track:5pAbCxt9e3f81lOmjIXwzd
Arctic Monkeys,Favourite Worst Nightmare,505,spotify:track:58ge6dfP91o9oXMzq3XkIS
Kota the Friend,Birdie,Birdie,spotify:track:2X86YOI8gYMCaQsXjjPsGt
AUDREY NUNA,a liquid breakfast,Baby Blues,spotify:track:08tdFfSLp50Wv6HIcfH9YP
Alsarah & The Nubatones,Manara Remixed,3yan T3ban - Oddisee Remix,spotify:track:7EeDB0g4YmYP3y6JCRYe2p
Kendrick Lamar,"good kid, m.A.A.d city",Swimming Pools (Drank) - Extended Version,spotify:track:5ujh1I7NZH5agbwf7Hp8Hc
SZA,SOS,Snooze,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2
CoryaYo,1995,1995,spotify:track:2ab3urJGKoO3xH9CvcqVyw
marQ,On & Off,On & Off,spotify:track:22Hss9mYx32zL6UHhl0kYq
RIMON,Grace,Grace,spotify:track:3JLzTwLuKBTcxrua5PeLfV
Steelix,Lay It Down,Lay It Down,spotify:track:3YvAFDgDpWIfjSPxlw12He
Frank Ocean,Blonde,Pink + White,spotify:track:3xKsf9qdS1CyvXSMEid6g8
Shoukrallah Ezz Eldin,Allalah Belil,Allalah Belil,spotify:track:2SeSqFTf1YRovamxvgpS1o
Asmara All Stars,Eritrea's Got Soul,Haki,spotify:track:00orD7AjHEwUCpoMqzHGRN
Aminé,ONEPOINTFIVE,SUGARPARENTS (feat. Rico Nasty),spotify:track:2WS2N8wgs9Drd5MNJLJxkf
Aminé,ONEPOINTFIVE,DR. WHOEVER,spotify:track:2qpX5WY7A7uLLLQfFpvRDK
"Tyler, The Creator",CHROMAKOPIA,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",spotify:track:3tFed7YsjGnIfxeLEQwx3R
Naughty Boy,Queer Dance Party 2023,La La La,spotify:track:01fAOI7ZLmw3xqfPYBP6Tl
H.E.R.,I Used To Know Her: The Prelude,As I Am,spotify:track:3LtnXdDD9VFBtHy5kmGILx
Lojay,Monalisa,Monalisa,spotify:track:3baPniPXS0iEII8rDUJdYP
Tai Verdes,how deep?,how deep?,spotify:track:0VcWp30A3hSJrPjdDEHeNE
Azealia Banks,Broke with Expensive Taste,Luxury,spotify:track:5BsGmbPJyupA70FlD7NtbS
Rex Orange County,Apricot Princess,4 Seasons,spotify:track:4fg2EzaeNhR2PWNGXbX18n
Mild High Club,Skiptracing,Skiptracing,spotify:track:6JZv5f9ufV0Uz7VbGpd2DL
Rema,Rave & Roses Ultra,Charm,spotify:track:1iBWjQ9af9NnUd5xnQDB3k
Ella Mai,CHANGE,Lay Up,spotify:track:2HP5Dm340OwFB0eTpEjusY
"Tyler, The Creator",Goblin,She,spotify:track:0SA0mMXWh23raZ6xzOCU2V
Miso,Slow Running,Slow Running,spotify:track:33cVecSipAUO7S6T1OCBty
Saint Motel,My Type EP,My Type,spotify:track:2Iq6HhIquO7JKr0KfTNLzU
Inhaler,It Won't Always Be Like This,It Won't Always Be Like This,spotify:track:61YcJKRn2y1si5jGc7LUIN
The Marías,Submarine,Paranoia,spotify:track:4gtIYSYu8u2ItBqrhCaChL
Dreamer Boy,Puppy Dog,Puppy Dog,spotify:track:13O36COxxWjcvc9r5Zsd1P
beabadoobee,Take A Bite,Take A Bite,spotify:track:7ddVpLW467CLYffbPRQNmH
Anubha Bajaj,Lamhey,Lamhey,spotify:track:5Z2GQ0eBKoatNYqbGayihP
Taylor Swift,folklore,august,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
Lana Del Rey,Lust For Life,White Mustang,spotify:track:6eygbzyL6hY8jFQTARDuo9
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞,telepatía,spotify:track:6tDDoYIxWvMLTdKpjFkc1B
Zahoor,Harkalay,Harkalay,spotify:track:4Z7C2MuZAG6zGiHfwwsNeK
Asake,Work Of Art,Mogbe,spotify:track:3YPtN5X0HxIzeRCHxfoXTy
Surf Curse,Disco,Disco,spotify:track:2Lumsra3kuU61wXkEKzKaK
almost monday,DIVE,can't slow down,spotify:track:15IF4wSCMrAo2Rq0eytARR
"Tyler, The Creator",Cherry Bomb + Instrumentals,BUFFALO - Instrumental,spotify:track:3mWdvkm8RbMr1d5Q2Jk4N5
Tessa Rae,Someone I Know,Someone I Know,spotify:track:4d3jSsvnQVyiWWPBji7f4y
ROSALÍA,MOTOMAMI,CHICKEN TERIYAKI,spotify:track:6hH6QJ9ZAO0Z6m7PfvLoXW
Sam Ezeh,CRISIS,CRISIS,spotify:track:43czZSFDYr2i6HDJw580n5
Kali Uchis,Red Moon In Venus,Fantasy (feat. Don Toliver),spotify:track:1dvqHhLNccePPBHq11TW7v
Wallows,Remote,Quarterback,spotify:track:2rd11sqko8mAhD4kNocAfs
Cam Rao,YOUUU,YOUUU,spotify:track:508XprekcQ62pm4xoQlsI2
Marshmello,ESTILAZO,ESTILAZO,spotify:track:3S6VRZQYwuPIllMmYdAj66
Eyedress,My Simple Jeep (feat. Mac DeMarco),My Simple Jeep (feat. Mac DeMarco),spotify:track:0ZpC3Exz0loDQahf1jPErB
Anbessa Orchestra,Anbessa Orchestra,Le'b,spotify:track:5SQ8V30JWynZFnCPeXuRDi
Adam Port,Move (feat. Camila Cabello & Malachiii),Move (feat. Camila Cabello & Malachiii),spotify:track:0scd3nh27AYTNXo0KHRmsG
Mac Miller,Circles,Surf,spotify:track:1kwnxJNVl7cwcU98RvMBaR
fadinglight,angels,angels,spotify:track:32W0oB4Gddcs1fZG6uEmDi
Eyedress,Mulholland Drive,Something About You,spotify:track:6RiiSy9GzSwiyDEJDiMuKe
SZA,Power is Power,Power is Power,spotify:track:35RDmXJ59YYGNlv1KfTGsP
Taylor Swift,Midnights,Karma,spotify:track:7KokYm8cMIXCsGVmUvKtqf
Hotel Ugly,Piggypink,Piggypink,spotify:track:7oe04qLMdQxHXhcGIfShXf
COIN,How Will You Know If You Never Try,Malibu 1992,spotify:track:0nMqu5vN44GNv8UOQxmBJK
Calvin Harris,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),spotify:track:7ef4DlsgrMEH11cDZd32M6
"Tyler, The Creator",Cherry Bomb + Instrumentals,PILOT - Instrumental,spotify:track:3qNiRhFYfEbuvWvzQQ5p7d
Malcolm Todd,Two New Malcolm Todd Songs,You Owe Me,spotify:track:0fVL6EBaQ2X12qQLiFgyg2
Emei,Late To The Party,Late To The Party,spotify:track:1rbpKQH9Ln0ySrOV3wtWV7
Aminé,Limbo,Can’t Decide,spotify:track:7xEVy3xCkmRSbYavgefnsI
The Marías,Hush,Hush - Still Woozy Remix,spotify:track:4dGuRldChjvboZktprNJFM
Crumb,Locket,Locket,spotify:track:0bxcUgWlOURkU6lZt4zog0
RIMON,BBYGIRL FOCU$,wherewasu,spotify:track:4vKaTCqqXgCLpWZgGLBGlg
Drake,More Life,Portland,spotify:track:2bjwRfXMk4uRgOD9IBYl9h
Wallows,Pleaser,Pleaser,spotify:track:11zf7m4vw9Ze7cer9Nyhk1
That Chick Angel,One Margarita (Margarita Song),One Margarita (Margarita Song),spotify:track:17Um25RxAOpc2NgtDiYKl9
Ella Mai,CHANGE,Down,spotify:track:1tQsStMyJ0tciJ5Z4MUg66
Sarah Hemi,Doki Doki,Petals,spotify:track:2YFFsewNjEoPOQ165oXL2v
Kanye West,Yeezus,Blood On The Leaves,spotify:track:42GcjriRK6srwHkfbkBqVl
"Tyler, The Creator",Cherry Bomb + Instrumentals,DEATHCAMP - Instrumental,spotify:track:4rD9WSFNt2LbhVcqZqa5rp
Ella Mai,Time,She Don't (feat. Ty Dolla $Ign),spotify:track:01JPQ87UHeGysPVwTqMJHK
¿Téo?,Luna,Magic Hour,spotify:track:6xHMi6HSt7yJvm3n81JZn6
Ella Mai,READY,Nobody Else,spotify:track:3UB8dFB7YYpIxmOytC5pnK
Macabre Plaza,Out With the Old in With the Taboo,A Bird's Last Look,spotify:track:4sys6H7gj0kgsa2bUx0IeW
Hailu Mergia,Wede Harer Guzo,Anchin Kfu Ayinkash,spotify:track:2YfRKF4sWeV1t1NqBoUgxH
Still Woozy,"If This Isn’t Nice, I Don’t Know What Is",Woopie,spotify:track:3vWAF1k5crNOR67wDdupxc
Alsarah & The Nubatones,Silt,Habibi Taal,spotify:track:4YNoMqHMhY4HYFVNbDKfUU
Nathanie,Dollar Sign,Dollar Sign,spotify:track:72bc7oKYnLXnumQTE53Lb0
Steve Lacy,Dark Red,Dark Red,spotify:track:3EaJDYHA0KnX88JvDhL9oa
Odeal,Coffee (Don't Read Signs),Coffee (Don't Read Signs),spotify:track:1EuIWfKgBys9A7mTAPm968
Ella Mai,"10,000 Hours","10,000 Hours",spotify:track:039cp1y6E9XmpTCso7cBRp
Sean Paul,Dutty Rock,Get Busy,spotify:track:6bK9BH9Ts8Gj5JFvnQkzak
Frank Ocean,Blonde,Seigfried,spotify:track:5SDmwAmdAtDG9kyGniVBKN
Lilithzplug,CLEARED - Remix (Slowed / Sped Up),CLEARED - Remix,spotify:track:2MxZySTQGz3KtKnbJx97oa
FKA twigs,CAPRISONGS,honda (feat. pa salieu),spotify:track:6kZsTttxl7h4BLGSRWQnTp
Natalia Lafourcade,"Musas (Un Homenaje al Folclore Latinoamericano en Manos de Los Macorinos, Vol. 1)",Soledad y el Mar (feat. Los Macorinos),spotify:track:1Xtz05nIgJiEYdncfd1w8h
Yaeji,raingurl,raingurl,spotify:track:4gRAniZdYF2zVrDUsNC9tU
Wallows,Nothing Happens,Remember When,spotify:track:5naar7XewEOAjOywIp6Jjq
Akalé Wubé,Sost,Mèmona,spotify:track:0W8xBwaTD7Tascm7USrYRP
J Balvin,Pop Efervescente Vol. 3,Azul,spotify:track:04ao9P1v2BACYCaCGU8XMK
bbno$,sriracha,sriracha,spotify:track:27uqXX6GcgnvzE2QzNaj4z
"Tyler, The Creator",Cherry Bomb + Instrumentals,KEEP DA O'S (feat. Pharrell Williams & Coco O.),spotify:track:0YOzUujSDOvSRahyn1Pkeb
"Tyler, The Creator",Cherry Bomb + Instrumentals,"OKAGA, CA - Instrumental",spotify:track:0wt8YgYZVAIi8OpVTB7PZ7
Ella Mai,READY,Breakfast In Bed,spotify:track:2j0FtLNpLPaSX9rKuIdBFH
Girly Girl Productions,DEMURE,10 Drunk Cigarettes,spotify:track:4sGabY0mSsrksGeaQAAY7v
Mac Miller,K.I.D.S.,The Spins,spotify:track:7BcOUi4FQ3wBLmNTW0yfCR
Baby Keem,The Melodic Blue,lost souls (with Brent Faiyaz),spotify:track:02rdXe0KhMe8p6ZHzYtuw0
Lana Del Rey,Music From Baz Luhrmann's Film The Great Gatsby,Young And Beautiful - DH Orchestral Version,spotify:track:5mhd20rH952SFPErYih36i
Tarkan,Ölürüm Sana,Şımarık,spotify:track:6vEL7E8TGzrxuxbrgdlkLL
BETWEEN FRIENDS,i like when you shine!,stay with it bby,spotify:track:6oufKQcnxdgNnY9rd4NcCb
Vayda,breeze,bingo,spotify:track:1jxB8bJcHFeMuKPHug1icD
Billie Eilish,HIT ME HARD AND SOFT,LUNCH,spotify:track:629DixmZGHc7ILtEntuiWE
Future,Life Is Good (feat. Drake),Life Is Good (feat. Drake),spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc
Sarz,Happiness (feat. Asake & Gunna),Happiness (feat. Asake & Gunna),spotify:track:6rOqLUy3kp0PVQQEtNPpbQ
Sexyy Red,Fat Juicy & Wet,Fat Juicy & Wet,spotify:track:5M2lX0ZAYSAzCs1xPPi9BX
WAYNE FLENORY,SUPARO,SUPARO,spotify:track:1Di904lomBvS89EWnSpW6J
The Walters,I Love You So,I Love You So,spotify:track:4SqWKzw0CbA05TGszDgMlc
okayceci,feel u,feel u,spotify:track:5pm9nGzY5b5gp424c6iYZh
Filthy Blondes,Filthy Blondes,Pretty,spotify:track:2Bobs0aazmjo1KIng60uQC
marQ,Rhodie,My Lady,spotify:track:7cbDxm3LQZ9tqrOcdKc2Ko
Frank Ocean,channel ORANGE,Forrest Gump,spotify:track:4YZbVct8l9MnAVIROnLQdx
Troy Javelona,Love,Go Away,spotify:track:0qHYMTypzE560QUDwfMdfH
The Deli,Vibes 3,Flowers,spotify:track:6ugrRFZUNIpLiqhLUgC7ix
Waka Flocka Flame,Flockaveli,No Hands (feat. Roscoe Dash & Wale),spotify:track:03tqyYWC9Um2ZqU0ZN849H
Saber Rebai,Sidi Mansour,Sidi Mansour,spotify:track:6sNVx9BBrsA2IzwYSDfLOM
Caleb Belkin,Discography,I Fall in Love Too Easliy,spotify:track:4BGfM7Faj0dyEnSuaOw67j
City Girls,Girl Code,Act Up,spotify:track:3A2yGHWIzmGEIolwonU69h
Los del fino,Con una Prima Déjame Revisarte el Celular 2,Con una Prima Déjame Revisarte el Celular 2,spotify:track:42OhR2WtPqzjPqLslCiZJc
Sabrina Carpenter,Espresso,Espresso,spotify:track:2qSkIjg1o9h3YT9RAgYN75
Del Water Gap,Better Than I Know Myself,Better Than I Know Myself,spotify:track:0xg79a3ac7iAOILS1QQbPa
Kelsey Kuan,Strawberry Highlights,Strawberry Highlights,spotify:track:410ZNwaBNMJvHVWQPJLbIm
"Tyler, The Creator",Cherry Bomb + Instrumentals,CHERRY BOMB - Instrumental,spotify:track:5Sp0Qp4cmT5XXeJXfnrDAm
J Balvin,Energía,Ginza,spotify:track:2C2TGgFzrTRIOdQS1vUN5h
Dur-Dur Band,Sweet as Broken Dates: Lost Somali Tapes from the Horn of Africa,Gorof (Elixir),spotify:track:3ny55ZJcTqFLIcuXPzOpBF
Delegation,Oh Honey,Oh Honey,spotify:track:3TiCuJiisBOB9HzKAM6FDG
Victony,"Soweto (with Don Toliver, Rema and Tempoe)","Soweto (with Don Toliver, Rema & Tempoe)",spotify:track:25Kyv5SeEenT0EETpP2hYn
Ella Mai,Time,"Old Dog, New Bitch",spotify:track:6Bh16kDql5jGWA8WhinbdR
Saint Levant,FaceTime,FaceTime,spotify:track:2eKZvfQGKWrpASz67UCvTo
Prima,June Gloom.,June Gloom.,spotify:track:3tF8h4Mm10GEUquvWhmmlj
Plan B,Love And Sex,Candy,spotify:track:2ctjDCCg1wHoQSjIJ8p6U4
binki,Wiggle,Wiggle,spotify:track:3xUoFmauSdcqntvnmc39XZ
H.E.R.,I Used To Know Her: The Prelude,Feel A Way,spotify:track:3c7bUle1w9SAchAFUZ9n3o
Selena Gomez,Revival,Good For You,spotify:track:578Eooad7oUyn4stovZiPg
melvitto,THENIGHTISYOUNG.,Santorini Coffee,spotify:track:6TTR7tXftck5lU7BPRY7bV
Tame Impala,Currents,Yes I'm Changing,spotify:track:0xtIp0lgccN85GfGOekS5L
Shelly,Shelly,Steeeam,spotify:track:09RamrocZneYcLYLRIxYha
Rihanna,Loud,S&M,spotify:track:7ySUcLPVX7KudhnmNcgY2D
Adel Ebrahim,عادل ابراهيم 2014,اه يالندن,spotify:track:4nC5GnWJe2FcU84eBiJa3l
Conan Gray,Maniac,Maniac,spotify:track:7hpJ9tATWb2vztlq99hERP
Kim Petras,Slut Pop Miami,Gag On It,spotify:track:1NIIHg8jXOq095MQiLxXzC
Emotional Oranges,HOT OUTSIDE (feat. Anycia),HOT OUTSIDE (feat. Anycia),spotify:track:1QVh3p2qTqojy3MOTTLrLS
"Tyler, The Creator",Cherry Bomb + Instrumentals,"BLOW MY LOAD (feat. Wanya Morris, Dâm-Funk, Austin Feinstein & Sydney Bennett)",spotify:track:57lHFW5RSl888Q1UionOXq
Surfaces,Pacifico,Come With Me,spotify:track:16frIpnyUb9poRwQxQTmaC
Saba,CARE FOR ME,CALLIGRAPHY,spotify:track:7LBdv0ek7Tj2s0bgxmlrC6
Caleb Belkin,Summer Nights,Sunset,spotify:track:61ieuzY3byepkO7TZows2F
Magdalena Bay,A Little Rhythm and a Wicked Feeling,Killshot,spotify:track:0LJTfmgOMvlLd0u4HU9twm
Blood Orange,Coastal Grooves,The Complete Knock,spotify:track:2ITzT4yyV0zs0A9S3c2UXT
Big Time Rush,BTR,Big Time Rush,spotify:track:5lEsM6qpuzuZwij6jIZPvP
Brent Faiyaz,Larger Than Life,Upset (feat. Tommy Richman & FELIX!),spotify:track:5iwUwADk4uQUvgMF6PlTRl
Yaeji,EP2,Raingurl,spotify:track:4XXfQ8fBHMIgcygY4hV6RC
Lajfr,OLA,OLA,spotify:track:6BoWH6bD2rDPNd18NAoKZR
Ice Spice,Munch (Feelin’ U),Munch (Feelin’ U),spotify:track:1jOgJN75btuUONIdf57vHz
Tiagz,Tacata,Tacata,spotify:track:3HVePjHJWt5uI9HtHgV4aM
MIA GLADSTONE,GEEKIN,GEEKIN,spotify:track:4HiWfodoaCudNmx2AJCgq6
Berhana,Wildin',Wildin',spotify:track:4LGg2NY9eHp0jF3L1WbCNl
Pee Pee Man,Pee Pee Time,I Peed My Pants,spotify:track:3vVXQRbbZ5O8Np8L4naos4
BENEE,FIRE ON MARZZ,Wishful Thinking,spotify:track:06Xh1KvQofFghlSt33mFjc
RIAN,Schwarzes Schaf,Schwarzes Schaf,spotify:track:2dE0f1TEUXAlSEkisbW49n
Tame Impala,Currents,The Less I Know The Better,spotify:track:6K4t31amVTZDgR3sKmwUJJ
MC Fioti,Bum Bum Tam Tam,Bum Bum Tam Tam,spotify:track:6k2900NjJeVqZM55G3Danu
Mc Delux,Se Voce Nao Quer Passa a Vez,Se Voce Nao Quer Passa a Vez,spotify:track:7snnTlaWaN39nfN1PhUaT8
Billie Eilish,dont smile at me,idontwannabeyouanymore,spotify:track:41zXlQxzTi6cGAjpOXyLYH
Alessia Cara,Know-It-All,Here,spotify:track:5zUQZjVB6bfewBXWqsP9PY
Ethereal,Pump Fake,Pump Fake,spotify:track:4h7Hxf4UpXP4AdDSq7ziSS
Zola,AMBER,AMBER,spotify:track:5UPpgOKi0UQMMMSzWWgJJe
Indila,Mini World,Dernière danse,spotify:track:65uoaqX5qcjXZRheAj1qQT
RIMON,Nighttime,Nighttime,spotify:track:3YWJbv4CeZ1508JfmGNVL6
Malcolm Todd,Intercourse,Intercourse,spotify:track:3YWqNUpUGWDK8GDKMWCAEL
Vacations,Vibes,Relax,spotify:track:5TuTHrKzN6NweeQaKkBNb7
H_art the Band,My Jaber (Friday),My Jaber (Friday),spotify:track:6A7dtWl2tFEhWvQusDEqLv
Dina Ayada,Afro Jazz (My Bad) (feat. 33nimb),Afro Jazz (My Bad) (feat. 33nimb),spotify:track:5zQT9Qmt2kNgWQE7TuDhg7
TxC,Yebo,Yebo,spotify:track:5gmKbf0xU7lN4hJueFRchB
Doechii,Persuasive (with SZA),Persuasive (with SZA),spotify:track:67v2UHujFruxWrDmjPYxD6
Freeds,Fuzzy,Fuzzy,spotify:track:3rbvTHMixDKS84FLygc7ns
Jok'air,Big Drip,Big Drip,spotify:track:00rlHgLhlu7bWPvBz5xsyI
Red Hot Chili Peppers,Californication,Scar Tissue,spotify:track:1G391cbiT3v3Cywg8T7DM1
Nathanie,Who Do I Call?,Who Do I Call?,spotify:track:7luOSOrHYssQ1usmsFbc66
Lana Del Rey,Born To Die - The Paradise Edition,Ride,spotify:track:3l2S2RkGG4lbh7WqmCV3NB
Pitbull,Planet Pit (Deluxe Version),Mr. Worldwide (Intro) (feat. Vein),spotify:track:2HPmy1uA2SSJVVTduU9g2q
Echosmith,Talking Dreams,Cool Kids,spotify:track:13P5rwmk2EsoFRIz9UCeh9
Aminé,Baba,Baba,spotify:track:6bqIEcMHVQF0NQHnOnrvng
Lola Violet,meet me in the pale moonlight,meet me in the pale moonlight,spotify:track:5kStay40RcjuS8Y5f2eTie
beabadoobee,Beatopia,the perfect pair,spotify:track:41P6Tnd8KIHqON0QIydx6a
Calvin Harris,Slide (feat. Frank Ocean & Migos),Slide (feat. Frank Ocean & Migos),spotify:track:6gpcs5eMhJwax4mIfKDYQk
Katy Perry,Witness,Bon Appétit,spotify:track:4rHmKlFRiFzabiVO6e9w2e
Banes World,Drowsy,Drowsy,spotify:track:4yp90BbE4dxPXfGGSpbFwT
Panthurr,I Love U,"Woof, Pt. 1",spotify:track:4rHhkKyZ0DV97uAmIwQdVU
El Alfa,4K,4K,spotify:track:1BIXs6CdkPRLytuqoXs6XN
Cooper Scott,LORELEI,LORELEI,spotify:track:3GDLP0UQPmdv0hrXzcAHrW
Clara La San,In This Darkness,In This Darkness,spotify:track:0bmVH05tjN9jVh3kB1TfpR
Allah-Las,Self Discovery for Social Survival,Mulberry Jam,spotify:track:0kiX987aNuWUg0y3hj0IwT
